Time,Pbat1,Pgrid,Pultracap,PBat2,P-load3,SOC_BAT1
614.1,41517.1154015824,-9368.79898986743,-975.268915648315,-31338.1677467349,0,68.9371763837849
614.2,41235.1478856824,-9153.08474995114,1558.18799239981,-31293.8634243321,0,68.9368419354201
614.3,41542.8618019198,-9512.15296238874,-662.191451361408,-31224.7943143566,0,68.9365077259498
614.4,41554.0749104283,-9674.24818542015,1860.50121854464,-31073.2071930735,0,68.9361739463712
614.5,41393.6028983875,-9017.01726839512,-381.692972708707,-31586.8074607231,0,68.9358393068714
614.6,42369.4439525837,-10376.8480454843,2132.43581900087,-31187.4774606808,0,68.9355051968655
614.7,41905.4754008148,-9139.71092396582,-114.192080509829,-31954.9699834606,0,68.9351704578587
614.8,42269.8153058898,-9719.59033657859,2391.86276593995,-31761.0632726338,0,68.9348362256892
614.9,42171.0539664301,-10174.4706088339,133.706633043508,-31185.8141604052,0,68.9345017249077
615,41855.7022926797,-9832.15543923481,-2139.91895007709,-31212.697840701,0,68.9341679546794
615.1,42021.5194033237,-9694.42495812565,355.484411145985,-31535.4720347651,0,68.9338345750008
615.2,42224.5434628416,-9814.05180769107,-1915.89549013124,-31609.083074265,0,68.9335013687301
615.3,41592.0019955033,-9498.21104257896,560.952714206194,-31265.203922669,0,68.9331681673287
615.4,41813.6037381175,-9372.69948452392,-1731.30441863375,-31629.897452068,0,68.9328350137612
615.5,41917.9223564185,-9185.79956977529,737.353618719637,-31933.8815522686,0,68.9325020200791
615.6,42119.7782970675,-9477.5156572372,-1559.66008287206,-31834.9028736106,0,68.9321694893801
615.7,41793.125711041,-9624.6321704474,900.479932777543,-31362.4150427411,0,68.9318370592836
615.8,41823.5091663806,-9766.25844271561,-1407.60184036014,-31260.860744902,0,68.9315046003764
615.9,42356.2216295969,-9840.72203161,1037.74024014158,-31702.2628968464,0,68.9311725170789
616,41616.8681931272,-8888.44457889751,-1289.16042366186,-31912.0100097625,0,68.9308402359668
616.1,41243.7467626902,-8758.12196278407,1150.04896174605,-31696.1835167781,0,68.9305081716713
616.2,41524.0266645421,-9665.67675499992,-1178.0611495683,-31054.107633451,0,68.9301754720566
616.3,41947.0124761043,-9980.32043324214,1248.55837099745,-31154.3850163958,0,68.929843447145
616.4,41693.5020866749,-9546.00948847182,-1095.99483052057,-31355.6666750904,0,68.9295114029396
616.5,41775.3822713295,-9377.56253411232,1317.93637355314,-31593.3610377564,0,68.9291794400513
616.6,41529.2741514902,-9340.26903565798,-1025.81368383657,-31380.9594969495,0,68.9288468607316
616.7,41626.8450559602,-9692.61558857782,1377.13619961448,-31137.6813525562,0,68.9285147453401
616.8,41545.4142311508,-9142.95776690908,-982.078698614238,-31614.0558315928,0,68.9281829047938
616.9,41990.9252637939,-9645.88319241166,1410.66870228232,-31538.5636327458,0,68.9278507379049
617,41516.2927465436,-9449.09421642309,-962.648842678868,-31262.5808269516,0,68.9275177125874
617.1,41754.2107907222,-9713.70820213676,1420.48877934756,-31244.5304571261,0,68.9271854570572
617.2,41809.1564392035,-9918.38958163644,-965.672610042815,-31086.393760737,0,68.9268529036496
617.3,41576.196870559,-9298.78259487418,1409.78058277352,-31470.6817517195,0,68.9265201800087
617.4,41560.2618158374,-9107.67371411415,-988.179644020044,-31650.4223109305,0,68.9261873477609
617.5,41485.4545146245,-9856.44947979534,1379.22709397105,-30825.5016537039,0,68.9258547932428
617.6,41110.5369557894,-8801.52018645726,-1029.36434076954,-31505.0561089406,0,68.9255220251999
617.7,42168.8598856682,-9384.72097687704,1323.58968411755,-31985.6581723966,0,68.925189493611
617.8,41673.9058891497,-9154.6365141836,-1095.67394156279,-31730.4609842311,0,68.9248569995617
617.9,42018.0741370097,-9825.16595552324,1243.51001500936,-31385.4803667663,0,68.9245244206632
618,41405.3082908895,-8630.36117013043,-1175.95468600033,-31978.296821452,0,68.9241917835578
618.1,42154.0171213022,-9790.79882082315,1149.83912268056,-31563.1366249693,0,68.9238591981885
618.2,41621.1584746847,-9430.92268693296,-1286.5791128844,-31385.3441078848,0,68.9235252872066
618.3,41808.9661363963,-9347.12285117434,1035.97324760989,-31654.9644942249,0,68.9231917723921
618.4,41819.9553323262,-9243.3824419393,-1407.69498044472,-31774.8445419025,0,68.9228588430871
618.5,42045.804363414,-9837.94789455116,904.068258586683,-31403.4004893213,0,68.9225261821349
618.6,41446.5303613623,-9011.00646710602,-1562.87553358039,-31625.8666376153,0,68.9221936150123
618.7,41958.7077178369,-9464.18922019823,738.769395812898,-31705.6341660949,0,68.9218615675242
618.8,41719.8532408909,-9585.08237626702,-1733.26506755558,-31330.3223046588,0,68.9215296763359
618.9,41688.9867915467,-9293.02300831288,560.143724999122,-31577.3579974767,0,68.9211981639575
619,41502.2435335995,-9166.51600138979,-1916.21165022604,-31532.1949713904,0,68.9208670862366
619.1,41934.2680688242,-9185.31809880014,360.321395794906,-31953.6088262682,0,68.9205362269397
619.2,42125.0314366504,-9762.76634525851,-2136.11374978885,-31550.8265287307,0,68.9202053413999
619.3,42149.8526496707,-9566.75202191778,133.967213535136,-31782.9771573417,0,68.9198738234405
619.4,41766.9270547101,-9299.12120842803,-2364.83066924753,-31647.4653947351,0,68.9195426183994
619.5,41997.1988416028,-9113.7776745557,-109.563557040106,-32063.7662948123,0,68.9192111043099
619.6,42270.834852522,-10056.6947835511,2137.13124619445,-31405.8908987825,0,68.9188795106443
619.7,42030.3721454741,-9982.34677705572,-376.444040991176,-31236.6632411489,0,68.9185480212783
619.8,42057.5520419114,-9980.90758427874,1861.97015416545,-31257.7948000264,0,68.9182160030897
619.9,41687.5013919106,-9016.81679847664,-664.510006764467,-31860.7429686331,0,68.9178835449597
620,42005.0240620781,-9304.37329020452,1566.11791275835,-31889.5854571796,0,68.9175504374704
620.1,41504.2524208301,-9285.09355935359,-963.639342966538,-31409.1272599142,0,68.9172162610846
620.2,41754.1955887826,-9964.67649362747,1242.97866793523,-30985.7745164126,0,68.9168822441436
620.3,41791.0833795776,-9857.68211811143,-1297.08702457503,-31143.7388620799,0,68.9165480108905
620.4,41188.0831828803,-9639.62160414496,912.044879505072,-30747.1197260008,0,68.9162138892434
620.5,41939.6431304578,-10227.2884795705,-1654.84460630481,-30892.2896042095,0,68.9158797659835
620.6,41744.1366983577,-9451.95022149731,549.447343348043,-31500.9586446265,0,68.9155452599198
620.7,41464.1218266388,-9708.6918847355,-2017.78304548261,-30946.4175568189,0,68.9152108100251
620.8,41922.0790648375,-9792.32534858595,165.201372100219,-31321.0515716299,0,68.9148764322828
620.9,41739.9025961275,-9980.58429419675,2345.3413434585,-30962.653245166,0,68.9145418091744
621,41282.2689664478,-9401.98533849313,-237.107749458123,-31079.6227218692,0,68.9142063511157
621.1,42693.8199122218,-10354.4321702727,14331.916333154,-32534.1287345294,14400.0000783833,68.9138702808435
621.2,42683.9725330928,-10390.4458950762,13998.8913610689,-32575.4651906891,14400.0000783901,68.9135340999004
621.3,42952.1738141596,-10800.3035280476,13029.2989309699,-32432.5279328132,14400.0000783968,68.9131977795062
621.4,42855.7860592129,-10524.9445019262,16159.1919037493,-32639.0489864513,14400.0000784036,68.9128616365834
621.5,42634.3313468889,-9898.01419292504,13915.9958404997,-32248.1563213096,14400.0000784103,68.9125252372815
621.6,40564.7461707123,-8885.46393446056,-1365.80876981754,-30888.8847568445,0,68.912188980222
621.7,41753.6261813058,-9591.63471605635,2362.29722920663,-31395.1483132154,0,68.9118523292242
621.8,41466.9829934698,-9050.06636386772,1327.5035279259,-31654.7367828,0,68.9115160423033
621.9,41640.0385251725,-9773.66246651973,291.385211110309,-31108.3083592539,0,68.911179810972
622,41412.5004970978,-9621.13116141919,-752.77552627184,-31031.998221787,0,68.9108435459938
622.1,42139.9414321764,-9913.25131679903,-1809.09697209553,-31467.3708505024,0,68.9105073328009
622.2,41928.5196906935,-9539.15293158252,1892.66048928952,-31644.0958331012,0,68.9101710764433
622.3,41605.7701195665,-9090.43550121281,833.917711756774,-31759.3685561543,0,68.9098345849258
622.4,42083.1027722167,-10202.9660913848,-230.921849374654,-31131.5731360581,0,68.9094980951208
622.5,40959.2776114276,-8561.07465464047,-1307.73621071638,-31650.606344314,0,68.9091622939794
622.6,42268.3734838945,-10238.1879968333,2374.20236081624,-31286.92452974,0,68.9088265529527
622.7,42033.3291423982,-9740.06686697832,1288.63346674356,-31546.9865570738,0,68.9084908610583
622.8,41828.3777630354,-9564.85508503574,206.220534551555,-31513.5982256025,0,68.9081556841131
622.9,41559.6023526599,-9074.77158374466,-887.256787741872,-31732.81869164,0,68.9078211228276
623,42036.3059661327,-9549.14228647549,-1981.68388887944,-31734.9538834369,0,68.907486661497
623.1,42098.6065585222,-9697.47231981612,1669.81788167395,-31651.0841571624,0,68.907151998634
623.2,41373.4686394619,-10183.3056255716,564.719985815754,-31521.0727375727,0,68.9068178723716
623.3,41987.7463757582,-10493.4861337967,-550.422359072647,-31860.3189288263,0,68.9064831524762
623.4,42216.4280063182,-10606.4949335877,-1673.83145583274,-32029.2874774363,0,68.9061481357041
623.5,41988.4709519401,-10756.009446018,1958.17742073156,-31789.222223903,0,68.9058132199242
623.6,42047.5477713207,-11113.9247799369,834.957499250595,-31507.6586716519,0,68.905478152808
623.7,41377.0588084619,-10352.235396452,-306.469049027869,-31604.4444607577,0,68.9051429989889
623.8,41428.5300387572,-10830.0716392746,-1446.73538940017,-31200.6811900679,0,68.9048080311874
623.9,41427.5403876312,-10795.2676106996,2160.51940788861,-31218.3269942298,0,68.9044731090923
624,41591.0911513913,-10898.0692964023,1013.88765155477,-31268.6205458677,0,68.9041387550595
624.1,42104.6761561367,-11239.2555086616,-142.236231216006,-31458.329490349,0,68.9038043372378
624.2,41875.0447354231,-11076.5800115112,-1304.55636161168,-31390.9722186319,0,68.9034693960784
624.3,41893.9765195359,-10624.5463374691,2282.71927600854,-31858.8341331445,0,68.9031348100339
624.4,42505.2459700269,-11595.1608909768,1115.84800497924,-31497.7589829873,0,68.902799762792
624.5,42400.7483901533,-11441.2463263892,-58.4557204006103,-31550.9604054522,0,68.9024643361708
624.6,41919.4770603429,-10983.4142161649,-1246.78321042103,-31518.4069595554,0,68.902129052035
624.7,41419.7065095767,-10721.361339906,2322.32507760034,-31285.7966677938,0,68.9017934293826
624.8,41689.3856101288,-10564.2519772306,1131.30657319645,-31724.3612293779,0,68.9014580716229
624.9,41840.1799763195,-10927.545002862,-66.3983297184422,-31493.9051333007,0,68.901122913285
